first_name,last_name,phone_number,property_address,city,state,zip,lead_source
James,Rodriguez,7724551023,1245 SE Indian Street,Stuart,FL,34997,Cold Call - Outbound
Maria,Johnson,7723389417,890 SW Kanner Highway,Stuart,FL,34994,Farm Area
Robert,Williams,7722871534,2340 NE Dixie Highway,Jensen Beach,FL,34957,Circle Prospecting
Linda,Garcia,7726449082,445 SE Plandome Drive,Port St. Lucie,FL,34983,Expired Listing
Michael,Smith,7725567201,3100 SE Salerno Road,Stuart,FL,34997,Cold Call - Outbound
Barbara,Martinez,7723215648,1780 SW Palm City Road,Palm City,FL,34990,Farm Area
David,Anderson,5614429337,890 SE Bridge Road,Hobe Sound,FL,33455,Cold Call - Outbound
Susan,Taylor,7728834216,560 NE Ocean Boulevard,Stuart,FL,34996,Circle Prospecting
Richard,Thomas,5617725540,2200 SE Federal Highway,Jupiter,FL,33477,Cold Call - Outbound
Jennifer,Moore,7724478923,1100 SW Capri Avenue,Palm City,FL,34990,Farm Area
Thomas,Wilson,7725562104,3400 NW Mediterranean Lane,Jensen Beach,FL,34957,Expired Listing
Elizabeth,Davis,7723316789,870 SE Monterey Road,Stuart,FL,34994,Cold Call - Outbound
William,Brown,5618845521,445 Tequesta Drive,Tequesta,FL,33469,Circle Prospecting
Patricia,Lee,7726643298,2100 SE Rays Way,Stuart,FL,34994,FSBO
Charles,Harris,7724419076,1560 NE Silverleaf Avenue,Jensen Beach,FL,34957,Cold Call - Outbound
Dorothy,Clark,5619923487,3200 SE Fairway West,Jupiter,FL,33477,Farm Area
Joseph,Martin,7725548812,780 SW 36th Terrace,Palm City,FL,34990,Cold Call - Outbound
Margaret,Thompson,7723367145,1900 SE Pomeroy Street,Stuart,FL,34997,Expired Listing
Daniel,White,7728871234,450 NE Plantation Road,Stuart,FL,34996,Circle Prospecting
Karen,Jackson,5614457890,1650 SE Cove Road,Jupiter,FL,33469,Cold Call - Outbound
